space	start	end	width	reads	gc	map	valid	ideal	cor.gc	cor.map	copy
chr1	1	500000	500000	532	-1	0.178026	FALSE	FALSE	0	0	0
chr1	500001	1000000	500000	4293	-1	0.581076	FALSE	FALSE	0	0	0
chr1	1000001	1500000	500000	5818	0.598332	0.86763	TRUE	FALSE	0	0	0
chr1	1500001	2000000	500000	6006	0.539498	0.815132	TRUE	FALSE	0.948979412150393	0.981685383768317	-0.0266673595561112
chr1	2000001	2500000	500000	6014	0.594508	0.940196	TRUE	TRUE	0	0	0
chr1	2500001	3000000	500000	5825	-1	0.794682	FALSE	FALSE	0	0	0
chr1	3000001	3500000	500000	6253	0.584572	0.97286	TRUE	TRUE	1.01868744315403	1.0005940425055	0.000856767723728743
chr1	3500001	4000000	500000	4427	-1	0.646609	FALSE	FALSE	0	0	0
chr1	4000001	4500000	500000	6474	0.482574	0.927315	TRUE	TRUE	0.959501460530106	0.94757348950231	-0.0776902583803038
chr1	4500001	5000000	500000	6500	0.481828	0.945291	TRUE	TRUE	0.962755329689897	0.948081826272971	-0.0769165154433783
chr1	5000001	5500000	500000	6772	0.447446	0.945212	TRUE	TRUE	0.977917200696443	0.963021787088954	-0.0543596573901414
chr1	5500001	6000000	500000	6816	0.49113	0.947468	TRUE	TRUE	1.01727808320685	1.00151067172032	0.00217779404723285
chr1	6000001	6500000	500000	6228	0.545072	0.908304	TRUE	TRUE	0.990018841756529	0.981423577633878	-0.0270521638858715
chr1	6500001	7000000	500000	6754	0.489968	0.892561	TRUE	FALSE	1.00687626102039	1.00021796982418	0.000314429717561709
chr1	7000001	7500000	500000	6824	0.470672	0.935223	TRUE	TRUE	1.00230404667128	0.988393526496812	-0.0168425331497725
chr1	7500001	8000000	500000	6741	0.48825	0.919953	TRUE	TRUE	1.00341658816316	0.992572614342511	-0.0107554445010564
chr1	8000001	8500000	500000	6976	0.462702	0.871628	TRUE	FALSE	1.01922900377513	1.01659780656818	0.0237490231145927
chr1	8500001	9000000	500000	7208	0.42601	0.879948	TRUE	FALSE	1.02206294267457	1.01747269141552	0.024990073618679
chr1	9000001	9500000	500000	6620	0.506692	0.885633	TRUE	FALSE	1.00611388285336	1.00058304726661	0.000840914277569363
chr1	9500001	10000000	500000	6519	0.497248	0.836801	TRUE	FALSE	0.979416454588735	0.994271033247728	-0.00828891812720306
chr1	10000001	10500000	500000	7044	0.445162	0.824932	TRUE	FALSE	1.01511861826349	1.04058210178467	0.0573907980042493
chr1	10500001	11000000	500000	6769	0.511386	0.919427	TRUE	TRUE	1.03515770976543	1.02409105844096	0.0343440002212957
chr1	11000001	11500000	500000	6722	0.480212	0.853094	TRUE	FALSE	0.994304886594784	0.998663236651032	-0.00192983200631182
chr1	11500001	12000000	500000	6583	0.519874	0.903433	TRUE	TRUE	1.01774823772104	1.00952996460991	0.0136837330096956
chr1	12000001	12500000	500000	6812	0.476294	0.887209	TRUE	FALSE	1.00452502838487	0.998726441828522	-0.00183852704250283
chr1	12500001	13000000	500000	6095	0.462062	0.842344	TRUE	FALSE	0.890145400628393	0.899876900314195	-0.152200435059348
chr1	13000001	13500000	500000	609	-1	0.393319	FALSE	FALSE	0	0	0
chr1	13500001	14000000	500000	2922	-1	0.560553	FALSE	FALSE	0	0	0
chr1	14000001	14500000	500000	6798	0.4314	0.9303	TRUE	TRUE	0.968107018078447	0.955513236771951	-0.0656522358207083
chr1	14500001	15000000	500000	6970	0.431124	0.925541	TRUE	TRUE	0.992360130042535	0.980411625149053	-0.0285405039450999
